created_at,text
Sat Aug 15 00:52:45 +0000 2020,"It’s not enough to  vote for Biden to get Trump out.
We also have to change the Senate majority and keep the House .
Vote Blue"
Sat Aug 15 00:52:45 +0000 2020,@Orlien @nprpolitics Yes I've seen Biden lately. Trump has also seen his African American over there. MAGA loves the black people!
Sat Aug 15 00:52:45 +0000 2020,@WheresMyArk_23 @magnianon @AOC should i scroll through your tweets and find the same statements as when the post office endorsed Biden or do they not exist?
Sat Aug 15 00:52:45 +0000 2020,@therecount @ddale8 So we gonna sit here and act like no other president lied before ok let’s move on Biden is beyond a liar talking bout raises for teachers and putting money in schools for children 🤥 who else is tired of that same old song and dance? 🙋🏾‍♂️Why these dems holding up these checks?🤷🏾‍♂️
Sat Aug 15 00:52:44 +0000 2020,"@TCno2017 @HistorianSavage @catturd2 If Biden gets elected, there will be a ROUNDUP of conservatives.  Everyone who tested positive for covid.......just for safety they will say."
Sat Aug 15 00:52:43 +0000 2020,"According to VP Biden, if you play tennis without wearing a mask you are going to  prison"
Sat Aug 15 00:52:43 +0000 2020,@mattvella91 @LADYBUNNY77 boy you speak for a lot of voters out there! seems condescending!
Sat Aug 15 00:52:42 +0000 2020,@imsoright2 @mahoganydick @realDonaldTrump @SteveDaines OMG!!!  Are you saying that Kamala Harris has had SEX?  THE HORROR!!!!!  Biden-Harris2020!!!!!!
Sat Aug 15 00:52:42 +0000 2020,would be a nice gesture for biden if he ever becomes president (hopefully!) to appoint @Kaepernick7 to the president’s council on sports https://t.co/tv6xmnTfnG
Sat Aug 15 00:52:42 +0000 2020,"@samiam2703 @petesede @RepSwalwell This will be under a new administration but nevertheless, Congress will have a lot on their plate already. Biden's DoJ can &amp; should appoint a special prosecutor to investigate &amp; prosecute each &amp; every dept.

 Trump has embedded a lot of corrupt and racist actors in our govt."
Sat Aug 15 00:52:42 +0000 2020,Want to join me for this Joe Biden for President event? https://t.co/5tr0Pggsn6
Sat Aug 15 00:52:42 +0000 2020,"How Jennifer O’Malley Dillon transformed Joe Biden’s campaign

By @ktumulty https://t.co/mN73jAHE5v"
Sat Aug 15 00:52:42 +0000 2020,"The Chinese intelligence, and the American Street prostitution. I am not offending the US but I am looking at Joe Biden charges to Donald trump and I am not offending the American citizens who are worshipping the American intelligence now. #China #XiJinping #Capitalism #Trump"
Sat Aug 15 00:52:42 +0000 2020,"@Name_Is_Nobody I’m not trying to sell him 😭😭 I’m not pro Biden, I just don’t think people should die so others can be too woke for a concession to the establishment"
Sat Aug 15 00:52:42 +0000 2020,@Lynne74776181 @jzman299 @SaraCarterDC @jpharley3000 @seanhannity How about the way Hillary is ready to jump in and “help” Biden? He will be dead by November.
Sat Aug 15 00:52:41 +0000 2020,@RealJamesWoods We should invite Obama and Biden pay for the respect and pay for the funeral.
Sat Aug 15 00:52:41 +0000 2020,@BarackObama @dan_bernstein Right.  Go vote early so we can accumulate as many votes as possible before people realize that Biden lacks the mental capacity to be a President and before people realize that Kamala is not the”moderate” that is being sold.
Sat Aug 15 00:52:41 +0000 2020,Biden's Team Lashes Out at Trump for Planning a 4-State Tour Next Week - Jealous Biden is Too Feeble to Travel and Campaign https://t.co/ZP6eQyeRIm via @gatewaypundit
Sat Aug 15 00:52:40 +0000 2020,81days to election 🗳 get your ballot let get Biden and Harris in the White House vote 🗳
Sat Aug 15 00:52:40 +0000 2020,"@GOP Republicans for Joe Biden
@RepsForBiden"
Sat Aug 15 00:52:40 +0000 2020,"This is poor journalism, and it is part of the reason Trump got elected last time. You idiots think you have to report everything this motherfucker does, I am sick of this kind of news coverage. Ass https://t.co/BZHoEAr5PX"
Sat Aug 15 00:52:40 +0000 2020,"It’s 5:50pm on Friday night. I am officially on vacation for the next ten days.
😎💬wallyworld here I come https://t.co/zBbJTXqLNe"
Sat Aug 15 00:52:40 +0000 2020,@obrienjenny @JasonMillerinDC @TeamTrump Joe Biden understands everything he is saying
