created_at,text
Fri Aug 14 22:47:42 +0000 2020,"the left turns anyone that is on the right into a villain, doesn't matter how squeaky clean they are. they turn Jenna into this evil person ""attacking suburban women"" bc she made a joke. just an excuse to attack Jenna bc she works for Trump."
Fri Aug 14 22:47:42 +0000 2020,"@seanmdav @realDonaldTrump Sean Davis, never gives up. Gotta keep regurgitating this. Julian Assange coordinated with Roger Stone, who in turn filled in Trump on dirt dredged up by the Russians. THIS IS FACT. #TrumpRussia #TrumpHasNoPlan #TrumpIsANationalDisgrace"
Fri Aug 14 22:47:42 +0000 2020,"@yourmomshouse71 @blang13 @kiwi_jeff @TelenNev @RJGillespie4 @RepKinzinger It's trump's people who made epstein a sweetheart deal, followed by Trump rewarding with a cabinet position. Last person on Earth to do anything about pedophiles would be Trump. He's a pedo himself: 25 women and a little girl have accused him of sex assault/rape, 12 kids paid off"
Fri Aug 14 22:47:41 +0000 2020,@atrupar When tRump moves to Moscow can someone promise I don’t have to look at this Goebbels wannabe again?
Fri Aug 14 22:47:41 +0000 2020,"@_cingraham @jacobbogage If USPS can’t deliver ballots on time, just imagine the mess when they fail to deliver Christmas gifts and cards on time.

The irony here is Trump is doing more to cancel Christmas than anyone in US history has ever done. And the religious right is enabling him.

Happy Holidays."
Fri Aug 14 22:47:41 +0000 2020,Don’t you just get tired of all the drama with trump?
Fri Aug 14 22:47:41 +0000 2020,President Trump is going to rig the election and he is doing it right now. You think the removal of hundreds of USPS mail sorting machines being taken out of service before an election where many Americans (many of whom are Democrats) are expected to vote by mail in ballots 1/2
Fri Aug 14 22:47:41 +0000 2020,"Did you know that Fayette County, Ohio’s very own Sheriff @VernonStanforth spoke to President Donald Trump on the phone? 

How cool is that! 

Thanks for all you do for us, Sheriff! 🇺🇸 https://t.co/GXeJoQIwqi"
Fri Aug 14 22:47:41 +0000 2020,"“We just heard that @OIGUSPS is investigating all aspects of our request to audit the Postmaster General’s operational changes at @USPS &amp; his personal conflicts of interest,” said @SenWarren.

Stop Trump &amp; DeJoy from sabotaging the USPS.
https://t.co/JXXj5qNtXl"
Fri Aug 14 22:47:41 +0000 2020,"@politictrends @ddale8 Read the Constitution’s 14th amendment &amp; make an attempt to understand it &amp; the court case back in 19th century which covers this issue. There is no way that Kamala is disqualified.  Trump’s historic upcoming loss will be his reward for being a 1st. class ASS
the last 3+ years."
Fri Aug 14 22:47:41 +0000 2020,@thejtlewis @realDonaldTrump @NatlParkService You should give up being Trump personal Ball washer and become a comedian cause you’re Funny
Fri Aug 14 22:47:41 +0000 2020,Thank you Donald Trump best President ever. @realDonaldTrump https://t.co/MtUrTJeXt3
Fri Aug 14 22:47:41 +0000 2020,"@CBSNews It's breathtaking watching the media quickly concoct this story that Trump has torpedoed the postal service.   It's been a financial sieve for years and years and years.  Bravo, your reporting is worthy of an Oscar."
Fri Aug 14 22:47:41 +0000 2020,@IGIANT111 @deejayquai @realDonaldTrump @NatlParkService Then vote trump
